@RELATION overall_satisfaction

@ATTRIBUTE room_type {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews NUMERIC
@ATTRIBUTE overall_satisfaction NUMERIC
@ATTRIBUTE accommodates NUMERIC
@ATTRIBUTE bedrooms NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE latitude NUMERIC
@ATTRIBUTE longitude NUMERIC

@DATA
PrivateRoom,CiutatVella,38,10.0,2,1.0,78.0,41.381,2.177
EntireHome,Eixample,88,9.0,4,2.0,193.0,41.378,2.163
PrivateRoom,NouBarris,4,10.0,2,1.0,72.0,41.434,2.176
PrivateRoom,Eixample,43,9.0,2,1.0,54.0,41.384,2.158
EntireHome,Eixample,21,9.0,6,3.0,131.0,41.377,2.158
EntireHome,Eixample,4,10.0,8,3.0,276.0,41.393,2.171
PrivateRoom,CiutatVella,18,9.0,2,1.0,58.0,41.382,2.181
PrivateRoom,CiutatVella,34,10.0,2,1.0,43.0,41.376,2.168
EntireHome,CiutatVella,23,8.0,4,1.0,96.0,41.381,2.168
EntireHome,CiutatVella,50,9.0,2,0.0,60.0,41.383,2.183
PrivateRoom,LesCorts,26,10.0,5,1.0,18.0,41.38,2.128
PrivateRoom,Gracia,12,10.0,2,1.0,57.0,41.406,2.156
PrivateRoom,SantMarti,3,9.0,2,1.0,108.0,41.397,2.189
PrivateRoom,SantMarti,3,10.0,2,1.0,59.0,41.401,2.206
PrivateRoom,SantMarti,5,9.0,1,1.0,24.0,41.422,2.197
PrivateRoom,Eixample,183,8.0,2,1.0,39.0,41.377,2.153
EntireHome,Eixample,5,10.0,4,2.0,121.0,41.376,2.163
PrivateRoom,SantMarti,18,9.0,2,1.0,46.0,41.412,2.185
PrivateRoom,CiutatVella,23,9.0,2,1.0,52.0,41.385,2.168
PrivateRoom,Sarria,7,8.0,1,1.0,30.0,41.397,2.148
EntireHome,CiutatVella,3,9.0,2,1.0,216.0,41.378,2.19
EntireHome,CiutatVella,68,9.0,2,1.0,78.0,41.39,2.181
EntireHome,CiutatVella,112,9.0,4,2.0,143.0,41.383,2.176
PrivateRoom,SantsMontjuic,4,10.0,2,1.0,66.0,41.374,2.165
PrivateRoom,CiutatVella,3,9.0,1,1.0,48.0,41.383,2.17
PrivateRoom,CiutatVella,20,9.0,2,1.0,102.0,41.383,2.182
EntireHome,SantMarti,5,10.0,7,2.0,420.0,41.4,2.207
EntireHome,Eixample,14,9.0,8,3.0,240.0,41.394,2.171
EntireHome,Gracia,149,10.0,4,1.0,96.0,41.403,2.166
PrivateRoom,SantMarti,39,9.0,2,1.0,42.0,41.411,2.179
EntireHome,CiutatVella,19,10.0,2,0.0,96.0,41.382,2.18
EntireHome,Gracia,3,6.0,4,1.0,99.0,41.402,2.167
PrivateRoom,Horta,29,9.0,2,1.0,66.0,41.418,2.17
PrivateRoom,LesCorts,3,10.0,3,1.0,28.0,41.386,2.14
PrivateRoom,Eixample,23,10.0,2,1.0,60.0,41.401,2.179
PrivateRoom,Eixample,12,8.0,2,1.0,48.0,41.405,2.177
EntireHome,Eixample,6,9.0,2,1.0,179.0,41.4,2.181
EntireHome,SantsMontjuic,80,9.0,4,1.0,121.0,41.373,2.137
PrivateRoom,Gracia,26,10.0,3,1.0,50.0,41.404,2.165
PrivateRoom,Eixample,19,10.0,1,1.0,32.0,41.38,2.154
EntireHome,Eixample,61,10.0,2,1.0,121.0,41.396,2.17
PrivateRoom,LesCorts,25,9.0,1,1.0,36.0,41.385,2.141
PrivateRoom,Gracia,59,9.0,2,1.0,60.0,41.403,2.161
PrivateRoom,SantMarti,31,9.0,2,1.0,18.0,41.409,2.197
PrivateRoom,Eixample,24,10.0,2,1.0,36.0,41.382,2.148
EntireHome,SantsMontjuic,37,9.0,4,1.0,84.0,41.371,2.149
PrivateRoom,Eixample,4,10.0,3,1.0,50.0,41.39,2.157
PrivateRoom,Gracia,77,8.0,2,1.0,30.0,41.402,2.168
PrivateRoom,SantMarti,11,9.0,2,1.0,24.0,41.413,2.182
PrivateRoom,Eixample,113,10.0,1,1.0,34.0,41.398,2.184
EntireHome,Eixample,3,10.0,6,3.0,489.0,41.384,2.163
EntireHome,Eixample,10,8.0,10,5.0,303.0,41.383,2.157
PrivateRoom,Gracia,22,9.0,2,1.0,34.0,41.4,2.152
PrivateRoom,CiutatVella,10,10.0,2,1.0,48.0,41.38,2.17
PrivateRoom,SantsMontjuic,46,10.0,1,1.0,46.0,41.374,2.147
EntireHome,Gracia,34,9.0,14,6.0,476.0,41.414,2.147
PrivateRoom,CiutatVella,35,9.0,2,1.0,18.0,41.375,2.188
SharedRoom,Eixample,40,9.0,1,1.0,24.0,41.382,2.158
EntireHome,Gracia,6,8.0,2,1.0,72.0,41.399,2.162
PrivateRoom,SantMarti,21,9.0,2,1.0,42.0,41.424,2.209
PrivateRoom,Eixample,9,9.0,2,1.0,48.0,41.384,2.147
PrivateRoom,Eixample,9,9.0,2,1.0,66.0,41.383,2.159
PrivateRoom,Eixample,202,8.0,2,1.0,36.0,41.376,2.157
EntireHome,SantsMontjuic,10,9.0,6,2.0,136.0,41.375,2.144
PrivateRoom,SantMarti,5,10.0,2,1.0,72.0,41.405,2.204
EntireHome,SantMarti,6,9.0,5,3.0,121.0,41.417,2.215
PrivateRoom,SantMarti,13,9.0,4,2.0,71.0,41.401,2.206
EntireHome,Sarria,23,9.0,6,3.0,259.0,41.392,2.123
SharedRoom,SantMarti,5,9.0,2,1.0,133.0,41.408,2.202
PrivateRoom,Horta,7,9.0,1,1.0,31.0,41.422,2.157
EntireHome,Eixample,9,9.0,8,3.0,180.0,41.394,2.181
PrivateRoom,NouBarris,13,9.0,2,1.0,14.0,41.445,2.184
EntireHome,SantMarti,11,9.0,4,2.0,140.0,41.397,2.201
PrivateRoom,SantMarti,71,10.0,1,1.0,54.0,41.421,2.208
EntireHome,Sarria,26,9.0,8,4.0,216.0,41.429,2.092
EntireHome,SantMarti,33,8.0,6,3.0,72.0,41.401,2.21
EntireHome,Sarria,5,8.0,6,3.0,95.0,41.412,2.103
PrivateRoom,LesCorts,43,10.0,1,1.0,36.0,41.378,2.123
PrivateRoom,SantMarti,20,9.0,3,1.0,41.0,41.402,2.206
EntireHome,SantsMontjuic,4,10.0,6,2.0,157.0,41.374,2.166
PrivateRoom,Eixample,41,9.0,1,1.0,18.0,41.41,2.173
PrivateRoom,CiutatVella,176,10.0,2,1.0,75.0,41.386,2.175
EntireHome,SantMarti,17,8.0,6,3.0,180.0,41.414,2.22
PrivateRoom,CiutatVella,116,9.0,2,1.0,66.0,41.378,2.166
PrivateRoom,NouBarris,3,8.0,2,1.0,121.0,41.461,2.177
PrivateRoom,Eixample,5,10.0,2,1.0,111.0,41.397,2.171
PrivateRoom,Eixample,21,9.0,2,1.0,72.0,41.381,2.162
EntireHome,Eixample,27,10.0,5,2.0,179.0,41.383,2.162
PrivateRoom,SantMarti,6,9.0,1,3.0,25.0,41.421,2.207
EntireHome,Eixample,17,9.0,4,2.0,204.0,41.377,2.158
PrivateRoom,LesCorts,64,9.0,2,1.0,48.0,41.385,2.139
PrivateRoom,CiutatVella,15,10.0,2,1.0,72.0,41.384,2.177
